,Nasdaq Composite,,,,
Date,Open,High,Low,Close,Volume
"07,31,2000",3950.5,4289,3615.69995,3766.8999,
"06,30,2000",3471.8999,4073.69995,3400.8999,3966.1001,
"05,31,2000",3930.1001,3982.30005,3042.6001,3400.8999,
"04,28,2000",4494.7998,4572.7998,3227,3860.6001,
"03,31,2000",4732.7998,5132.5,4355.6001,4572.7998,
"02,29,2000",3961,4698.3999,3911.80005,4696.6001,
"01,31,2000",4186.1001,4303.1001,3711,3940.30005,
"12,31,1999",3341.1001,4090.6001,3321.5,4069.30005,
"11,30,1999",2970.8999,3469.30005,2967.6001,3336.1001,
"10,29,1999",2729,2978.6001,2632,2966.3999,
"09,30,1999",2752.30005,2897.5,2684.69995,2746.1001,
"08,31,1999",2638.30005,2819.8999,2442.19995,2739.30005,
"07,30,1999",2692.8999,2874.8999,2619,2638.3999,
"06,30,1999",2467.5,2696.80005,2364.5,2686.1001,
"05,31,1999",2546.30005,2632.69995,2339.1001,2470.5,
"04,30,1999",,2677.69995,2329.80005,2542.80005,
"03,31,1999",,2520.62988,2235.18994,2461.40991,
"02,26,1999",,2533.43994,2224.20996,2288.03003,
"01,29,1999",,2506.31006,2193.12988,2506.21997,
"12,31,1998",,2200.62988,1924.15002,2192.70996,
"11,30,1998",,2025.04004,1771.40002,1949.54004,
"10,30,1998",,1781.63,1357.08997,1771.39001,
"09,30,1998",1509,1769.70996,1475.40002,1693.83997,
"08,31,1998",1869.69995,1874.30005,1498.69995,1499.19995,
"07,31,1998",1904.19995,2028.09998,1871.69995,1872.30005,
"06,30,1998",1770.30005,1898.69995,1715,1894.69995,
"05,29,1998",1871.80005,1890.80005,1741.69995,1778.80005,
"04,30,1998",1838.09998,1931.80005,1788.69995,1868.40002,
"03,31,1998",1778.69995,1840.80005,1708.19995,1835.59998,
"02,27,1998",1640,1783.69995,1619.30005,1770.5,
"01,30,1998",1574.09998,1629.5,1465.59998,1619.30005,
"12,31,1997",1608.5,1652.80005,1486.19995,1570.30005,
"11,28,1997",1609.59998,1654.40002,1526.84998,1600.5,
"10,31,1997",1690.69995,1748.69995,1465.80005,1593.59998,
"09,30,1997",1595,1702.90002,1587.30005,1685.59998,
