,Select Sector Spdr Trust (The) (Financial),,,,
Date,Open,High,Low,Close,Volume
"12,29,2006",28.96,30.16,28.61,29.83,144490240
"11,30,2006",28.9,29.48,28.37,28.97,140736416
"10,31,2006",28.07,29.04,27.94,28.77,165094688
"09,29,2006",27.28,28.42,26.89,28.11,139696416
"08,31,2006",26.76,27.45,26.32,27.18,186444800
"07,31,2006",26.29,27,25.53,26.86,205338336
"06,30,2006",26.52,27.06,25.32,26.26,268805696
"05,31,2006",27.6,27.79,26.07,26.54,220631248
"04,28,2006",26.43,27.68,26.23,27.58,205456432
"03,31,2006",26.58,27.06,26.22,26.43,285460384
"02,28,2006",25.9,26.83,25.48,26.5,247711360
"01,31,2006",25.72,26.75,25.3,25.94,226752128
"12,30,2005",26.03,26.28,25.62,25.72,183892544
"11,30,2005",24.71,26.47,24.52,25.88,265229696
"10,31,2005",24.08,24.8,23.09,24.7,257626352
"09,30,2005",23.99,24.36,23.39,23.97,210803568
"08,31,2005",24.46,24.52,23.31,23.91,204220272
"07,29,2005",24.08,24.69,23.69,24.3,116220128
"06,30,2005",23.79,24.24,23.66,23.93,124778376
"05,31,2005",23.3,23.87,22.77,23.78,224621648
"04,29,2005",23.22,23.43,22.24,23.09,226619376
"03,31,2005",24.24,24.68,22.79,23.05,239370112
"02,28,2005",24.36,24.89,23.82,24.09,141243040
"01,31,2005",24.97,25,23.86,24.26,94475440
"12,31,2004",24.08,24.94,24.06,24.79,63359232
"11,30,2004",23.31,24.36,23.26,23.95,91838944
"10,29,2004",23.15,23.76,21.92,23.23,106622256
"09,30,2004",23.47,23.95,22.92,23.11,66462100
"08,31,2004",22.71,23.51,22.13,23.45,72207992
"07,30,2004",23.14,23.27,22.18,22.71,72859944
"06,30,2004",23.1,23.62,22.96,23.21,74010152
"05,31,2004",22.86,23.35,21.78,23.22,128429872
"04,30,2004",24.08,24.56,22.74,22.83,140295904
"03,31,2004",24.29,24.86,23.22,23.87,90086408
"02,27,2004",23.61,24.49,23.47,24.26,58744096
"01,30,2004",22.88,23.99,22.72,23.59,82515568
"12,31,2003",22.1,22.98,21.82,22.84,51680140
"11,28,2003",22.13,22.36,21.36,21.98,44400820
"10,31,2003",20.71,22.27,20.71,22.06,70542520
"09,30,2003",20.62,21.47,20.37,20.63,98987624
"08,29,2003",20.85,20.97,19.99,20.56,72089888
"07,31,2003",19.77,21.34,19.72,20.8,42640136
"06,30,2003",20.14,21.32,19.89,19.94,66291536
"05,30,2003",18.97,19.98,18.64,19.94,82337992
"04,30,2003",16.97,19.24,16.9,18.98,41258032
"03,31,2003",17.3,18.01,15.55,16.86,35708316
"02,28,2003",17.58,17.81,16.32,17.09,30092102
"01,31,2003",17.91,19.49,17.23,17.64,37019608
"12,31,2002",19.24,19.38,17.67,17.86,24028856
"11,29,2002",18.21,19.33,17.69,19,51114764
"10,31,2002",16.93,18.84,15.04,18.32,93173144
"09,30,2002",18.68,18.99,16.23,16.78,40852996
"08,30,2002",18.59,19.78,17.06,19.07,60013272
"07,31,2002",20.28,20.49,15.1,18.72,91307064
"06,28,2002",21.45,21.59,19.42,20.41,50930656
"05,31,2002",21.6,22.25,21.12,21.42,33211592
"04,30,2002",21.84,22.45,21.19,21.49,39767312
"03,29,2002",20.91,22.58,20.75,22.05,69113992
"02,28,2002",21.07,21.07,19.57,20.75,97589144
"01,31,2002",21.23,21.92,19.94,21.11,62142520
"12,31,2001",20.83,21.66,20.63,21.36,16756777
"11,30,2001",19.81,21.79,19.41,21.04,10420755
"10,31,2001",19.97,20.79,19.33,19.76,32667642
"09,28,2001",21.2,21.64,17.17,20.04,18670268
"08,31,2001",22.88,23.13,21.19,21.33,15876630
"07,31,2001",23.18,23.42,21.86,22.84,17297032
"06,29,2001",23.18,23.69,22.04,23.06,16129209
"05,31,2001",22.26,23.82,22.22,23.31,8613788
"04,30,2001",21.32,23.54,20.18,22.33,35856464
"03,30,2001",22.13,23.09,18.99,21.55,19371848
"02,28,2001",24,24.26,21.26,22.29,13823488
"01,31,2001",24.03,24.89,22.74,23.9,19901636
"12,29,2000",22.31,24.41,21.7,23.95,26074608
"11,30,2000",23.14,23.73,20.91,22.15,21326470
"10,31,2000",23.52,24.06,20.2,23.35,22426562
"09,29,2000",23.14,24.06,22.03,23.55,13311065
"08,31,2000",21.1,23.24,21.01,23.12,5254772
"07,31,2000",19.29,21.39,19.13,20.99,5681977
"06,30,2000",20.44,22.05,19.01,19.29,11626262
"05,31,2000",18.98,20.45,18.4,20.34,6639831
"04,28,2000",20.12,20.95,17.97,19.89,10650182
"03,31,2000",16.75,20.45,15.81,19.7,18616944
"02,29,2000",18.83,18.87,15.96,16.72,10375929
"01,31,2000",19.26,19.55,17.43,18.73,10670748
"12,31,1999",19.64,20.63,18.45,19.3,18121762
"11,30,1999",20.71,21.66,19.51,19.84,6051917
"10,29,1999",17.83,21.24,16.95,20.76,9679151
"09,30,1999",19.11,19.69,17.46,17.97,5892069
"08,31,1999",20,20.95,18.47,19.02,4224014
"07,30,1999",21.24,21.77,19.87,19.89,2461258
"06,30,1999",20.25,21.37,19.62,21.19,2214960
"05,31,1999",21.59,22.15,19.79,20.36,3665902
"04,30,1999",20.58,22.43,20.43,21.65,2616672
