,Constellation Brands Incorporated,,,,,
Date,Open,High,Low,Close,Volume,SIP
"07,31,2009",13.18,14.19,12.25,13.66,57571336,2.269
"06,30,2009",11.73,13.69,11.62,12.68,65000500,1.294
"05,29,2009",11.61,12.57,11.14,11.56,45502736,1.405
"04,30,2009",11.75,12.33,10.72,11.59,66303724,1.272
"03,31,2009",12.73,13.5,11.73,11.9,67100768,3.022
"02,27,2009",14.35,15.83,13.03,13.05,44465872,4.032
"01,30,2009",15.82,17.16,13.76,14.52,53142296,3.186
"12,31,2008",12.54,16.27,11.54,15.77,44735524,3.241
"11,28,2008",12.37,13.5,10.66,12.76,61531532,5.364
"10,31,2008",21.46,21.67,12.08,12.54,56907776,5.551
"09,30,2008",21.59,23.48,20.06,21.46,41228356,6.026
"08,29,2008",21.41,22.86,20.04,21.11,33638456,6.707
"07,31,2008",20.94,23.09,20.31,21.52,55560884,7.2
"06,30,2008",21.35,21.35,18.82,19.86,41343312,7.307
"05,30,2008",18.21,21.9,17.9,21.32,49017612,6.728
"04,30,2008",18.09,20.47,17.78,18.36,43469388,6.789
"03,31,2008",19.13,19.44,17.21,17.67,45629028,7.346
"02,29,2008",20.76,21.83,19.14,19.21,33499712,6.27
"01,31,2008",23.59,23.81,19.01,20.9,45222528,4.934
"12,31,2007",23.6,24.97,22.68,23.64,25013986,5.005
"11,30,2007",25.1,25.12,22.39,23.55,30654488,4.416
"10,31,2007",24.1,26.46,24.07,25.12,36653896,4.84
"09,28,2007",24.01,24.49,23.26,24.21,21364700,6.576
"08,31,2007",21.84,25.79,21.41,24.18,48271128,6.873
"07,31,2007",24.67,25.06,21.23,21.93,50433808,8.185
"06,29,2007",24.35,25.52,23.01,24.28,47683360,9.571
"05,31,2007",22.47,24.61,22.35,24.3,67509072,12.292
"04,30,2007",21.11,22.97,20.63,22.41,48020088,5.059
"03,30,2007",20.5,21.55,18.83,21.18,90708384,2.593
"02,28,2007",24.86,24.89,23.01,23.46,41551312,2.953
"01,31,2007",28.8,29.17,24.07,24.74,47752600,3.621
"12,29,2006",28.21,29.14,27.79,29.02,17048700,4.186
"11,30,2006",27.52,28.23,27.37,27.98,23425100,4.439
"10,31,2006",28.75,29.09,27,27.49,44797300,4.014
"09,29,2006",27.4,28.97,26.9,28.78,27695900,2.779
"08,31,2006",24.3,27.29,24.15,27.29,25626700,3.084
"07,31,2006",25.15,25.47,24.13,24.46,23896800,2.959
"06,30,2006",24.5,26.38,24.18,25,24578000,2.926
"05,31,2006",24.83,25.1,23.83,24.7,19733600,2.448
"04,28,2006",25.05,26.31,23.32,24.7,30414000,2.674
"03,31,2006",26.58,28.02,24.28,25.05,24574900,3.209
"02,28,2006",26.27,27.39,25.2,26.34,25643000,3.153
"01,31,2006",26.35,26.96,24.6,26.69,29815900,2.796
"12,30,2005",23.65,26.38,23.16,26.23,29643200,2.545
"11,30,2005",23.53,24.42,22.56,23.62,27234700,2.281
"10,31,2005",26.12,26.33,21.15,23.54,40065300,2.166
"09,30,2005",27.6,29.01,23.99,26,27440500,2.65
"08,31,2005",27.39,27.97,26.26,27.52,23277900,2.276
"07,29,2005",29.75,30.28,27.4,27.4,49050200,2.823
"06,30,2005",27.72,31.6,27.15,29.5,28871200,2.118
"05,31,2005",26.63,28.36,25.18,27.81,24298100,2.126
"04,29,2005",26.5,30.08,25.91,26.35,41299000,2.548
"03,31,2005",26.64,27.69,24.5,26.43,22846600,2.874
"02,28,2005",25.76,28.67,25.59,26.76,28215400,3.399
"01,31,2005",23.26,26.1,22.35,25.96,26535200,2.343
"12,31,2004",22.33,23.91,22.33,23.25,16939800,2.343
"11,30,2004",19.64,22.58,19.64,22.35,26074400,2.605
"10,29,2004",19.45,20.05,18.11,19.61,22107000,2.466
"09,30,2004",18.3,19.29,18,19.03,19802200,1.659
"08,31,2004",18.88,19.16,17.7,18.39,15700600,2.363
"07,30,2004",18.5,19.97,18.17,18.94,27861200,2.526
"06,30,2004",18,18.93,18,18.57,18762200,2.527
"05,31,2004",16.53,18.13,16.41,18,17681600,3.139
"04,30,2004",16.1,16.98,16,16.57,19268800,3.31
"03,31,2004",15.85,16.81,15.45,16.05,38156000,3.163
"02,27,2004",16.77,17.96,14.65,15.85,36031600,3.522
"01,30,2004",16.45,16.89,15.85,16.77,22407600,3.407
"12,31,2003",17,17.08,15.28,16.47,21930400,2.919
"11,28,2003",15.75,17.33,15.32,17.25,19288010,3.43
"10,31,2003",15.24,15.74,14.66,15.69,23823800,4.284
"09,30,2003",14.43,15.9,14.35,15.24,28395600,3.977
"08,29,2003",14.48,14.55,13.31,14.38,26777200,3.457
"07,31,2003",15.7,15.7,13.69,14.43,56709200,3.518
"06,30,2003",13.82,15.9,13.82,15.7,25064400,3.189
"05,30,2003",13.4,13.82,12.78,13.78,21123000,2.713
"04,30,2003",11.38,13.46,11.3,13.4,24315000,2.895
"03,31,2003",12.27,12.33,10.95,11.35,20825800,2.089
"02,28,2003",12.5,12.69,11.95,12.31,11670400,2.303
"01,31,2003",11.93,13.13,11.15,12.53,27013800,2.689
"12,31,2002",11.8,12.71,11.35,11.85,16341400,1.755
"11,29,2002",12.66,12.7,11.15,11.76,22817600,2.712
"10,31,2002",11.63,12.95,10.99,12.66,22592800,2.58
"09,30,2002",13.82,14.9,11.07,11.55,29386600,2.775
"08,30,2002",14.35,15.39,13.38,14.2,18788800,2.974
"07,31,2002",15.99,15.99,12.05,14.37,23084600,3.135
"06,28,2002",14.8,16,12.6,16,25470200,3.142
"05,31,2002",15.1,15.81,13.56,14.73,44943600,2.961
"04,30,2002",13.72,15.13,13.25,15.1,18088400,3.056
"03,29,2002",13.41,13.75,12.63,13.74,15142000,6.834
"02,28,2002",11.99,13.59,11.63,13.59,25974400,7.801
"01,31,2002",10.71,12.36,10.52,11.97,29430400,7.835
"12,31,2001",9.52,10.81,9.51,10.71,18315200,8.116
"11,30,2001",10.25,10.93,9.02,9.48,29680400,6.283
"10,31,2001",10.29,11.25,10.06,10.26,27426000,6.5
"09,28,2001",10.5,10.81,8.69,10.41,25671600,7.721
"08,31,2001",10.59,11.63,10.13,10.59,20760800,5.517
"07,31,2001",10.25,11.1,9.93,10.53,22732400,8.09
"06,29,2001",9.66,10.94,9.2,10.25,21639600,10.02
"05,31,2001",8.18,10,8.06,9.66,18095600,10.928
"04,30,2001",8.99,9.25,7.82,8.16,32056000,17.474
"03,30,2001",7.99,9.01,7.88,8.97,40616800,33.601
"02,28,2001",8.46,8.57,7.62,7.98,17132800,29.564
"01,31,2001",7.34,8.49,6.63,8.43,25104000,27.534
"12,29,2000",6.09,7.38,5.88,7.34,12095200,33.355
