,Northrop Grumman Corporation,,,,,
Date,Open,High,Low,Close,Volume,SIP
"10,30,2009",46.7,46.89,44.76,45.48,67997960,1.346
"09,30,2009",44.22,48.23,43.06,46.95,54334448,1.645
"08,31,2009",40.82,45.45,40.37,44.28,56781420,1.798
"07,31,2009",41.38,43.48,38.56,40.44,61331484,1.613
"06,30,2009",43.54,44.58,40.63,41.44,61555936,1.456
"05,29,2009",43.85,46.04,41.95,43.2,51450952,1.079
"04,30,2009",39.04,45.08,38.78,43.86,69770032,1.133
"03,31,2009",33.23,41.51,30.67,39.59,85358120,1.518
"02,27,2009",42.36,44.62,33.86,33.89,65974340,0.812
"01,30,2009",41.47,45.44,40.7,43.65,52201048,0.807
"12,31,2008",36.41,41.27,33.96,40.86,55852084,0.62
"11,28,2008",42.79,44.15,30.81,37.15,57324660,0.543
"10,31,2008",54.63,54.86,33.77,42.54,111188152,0.556
"09,30,2008",63.09,65.49,54.21,54.92,71018496,0.446
"08,29,2008",61.49,64.79,60.11,62.46,53822288,0.55
"07,31,2008",60.04,62.9,58.15,61.13,48325432,0.983
"06,30,2008",68.33,68.43,60.09,60.69,50563664,0.581
"05,30,2008",66.53,70.26,66.05,68.46,40807544,0.552
"04,30,2008",70.68,72.13,62.09,66.74,53704184,0.425
"03,31,2008",74.81,75.66,68.95,70.59,48345200,0.544
"02,29,2008",71.22,74.73,70,71.31,44757272,0.653
"01,31,2008",71.43,74.63,68.52,71.99,55805052,0.434
"12,31,2007",70.8,75.74,70.78,71.34,38239944,0.562
"11,30,2007",75.75,77.3,69.72,71.48,53810872,0.647
"10,31,2007",71.42,75.93,70.5,75.86,34855028,0.79
"09,28,2007",70.94,73.03,69.3,70.76,28071118,1.021
"08,31,2007",68.9,72.89,66.99,71.52,54599292,2.761
"07,31,2007",70.99,72.67,68.87,69.04,37784636,0.971
"06,29,2007",68.82,71.02,67.78,70.64,31854850,0.979
"05,31,2007",67.02,70.27,65.8,68.59,38905708,0.926
"04,30,2007",67.58,69.76,66.61,66.8,30520428,0.823
"03,30,2007",64.45,68.78,63.96,67.33,40704300,0.938
"02,28,2007",64.32,68.69,63.96,65.18,36509632,1.063
"01,31,2007",61.33,65.24,60.08,64.36,30375076,1.135
"12,29,2006",60.5,62.39,59.91,61.42,24580622,1.275
"11,30,2006",60.19,61.91,58.36,60.72,42733620,1.313
"10,31,2006",62.05,63.58,58.79,60.23,39206528,0.839
"09,29,2006",60.61,62.78,60.33,61.75,22246240,0.678
"08,31,2006",60.02,61.01,57.87,60.61,27724878,0.779
"07,31,2006",58.34,61.33,56.84,60.05,22472216,0.925
"06,30,2006",58.69,59.54,55.8,58.11,37654352,0.922
"05,31,2006",60.69,62.38,58.37,58.68,36072744,0.855
"04,28,2006",62.18,64.75,60.4,60.69,30474284,1.325
"03,31,2006",57.47,63.54,57.42,61.95,40184948,1.392
"02,28,2006",56.36,60.32,56.34,58.15,32130078,1.452
"01,31,2006",53.75,57.95,53.61,56.36,34749300,1.581
"12,30,2005",52.16,54.67,51.66,54.53,32037262,1.38
"11,30,2005",48.72,52.32,48.69,52.04,33282884,0.888
"10,31,2005",49.08,50.19,47.33,48.67,44039648,1.127
"09,30,2005",50.76,52.78,48.04,49.31,40761352,1.2
"08,31,2005",50.44,51.29,49.65,50.88,29778390,1.033
"07,29,2005",50.16,52.16,49.08,50.3,26218448,0.965
"06,30,2005",50.56,51.92,49.04,50.12,25889848,0.946
"05,31,2005",49.69,50.85,48.33,50.55,30174894,0.756
"04,29,2005",49.21,51.33,48.31,49.75,36547512,0.865
"03,31,2005",48.08,50.78,46.85,48.97,37409308,0.765
"02,28,2005",47.18,49.44,46.96,47.99,32220578,0.723
"01,31,2005",49.03,49.43,46.36,47.06,40972332,1.098
